LG	contig	pos	av	Mpos_majority	Mpos_min	Mpos_max	inf_min	orientation	rndm_orientation
9	Contig100954	41834	11.628	11.628	11.628	11.628	11.586166	unk	neg
17	Contig100968	13576	15.2658902919985	15.2658902919985	15.2658902919985	15.2658902919985	15.2523142919985	unk	pos
16	Contig100990	14398	12.7565	12.7565	12.7565	12.7565	12.742102	unk	pos
16	Contig101006	1324	34.149	34.149	34.149	34.149	34.147676	unk	pos
1	Contig101029	34751	32.359	32.359	32.359	32.359	32.324249	unk	neg
11	Contig101039	87	52.3195	52.3195	52.3195	52.3195	52.319413	unk	pos
1	Contig101065	23887	35.667	35.667	35.667	35.667	35.643113	unk	pos
7	Contig101070	23526	29.165	29.165	29.165	29.165	29.141474	unk	pos
1	Contig101078	712	50.726	50.726	50.726	50.726	50.725288	unk	neg
4	Contig10109	3063	25.314	25.314	25.314	25.314	25.310937	unk	neg
13	Contig1011	8668	39.676	39.676	39.676	39.676	39.667332	unk	neg
4	Contig101103	10173	0.2675	0.2675	0.2675	0.2675	0.257327	unk	pos
12	Contig101107	1711	56.6905	56.6905	56.6905	56.6905	56.688789	unk	neg
2	Contig10111	4777	61.7765	61.7765	61.7765	61.7765	61.771723	unk	neg
4	Contig101115	3001	32.744	32.744	32.744	32.744	32.740999	unk	neg
9	Contig10117	30448	31.8837190773281	31.8837190773281	31.8837190773281	31.8837190773281	31.8532710773281	unk	neg
2	Contig10118	22900	48.8225	48.8225	48.8225	48.8225	48.7996	unk	neg
15	Contig101180	1017	1.9025	1.9025	1.9025	1.9025	1.901483	unk	neg
8	Contig101232	36765	20.376	20.376	20.376	20.376	20.339235	unk	pos
1	Contig101267	15501	35.104	35.104	35.104	35.104	35.088499	unk	neg
12	Contig10131	3285	52.961	52.961	52.961	52.961	52.957715	unk	pos
4	Contig101321	13555	12.657	12.657	12.657	12.657	12.643445	unk	pos
10	Contig101392	807	3.12	3.12	3.12	3.12	3.119193	unk	pos
4	Contig101405	41418	32.744	32.744	32.744	32.744	32.702582	unk	neg
14	Contig101416	7764	10.2385	10.2385	10.2385	10.2385	10.230736	unk	pos
12	Contig101497	8480	57.8515	57.8515	57.8515	57.8515	57.84302	unk	pos
4	Contig1015	16016	35.22	35.22	35.22	35.22	35.203984	unk	pos
16	Contig101537	23719	12.7565	12.7565	12.7565	12.7565	12.732781	unk	pos
16	Contig101587	2227	19.5285	19.5285	19.5285	19.5285	19.526273	unk	neg
11	Contig101600	507	52.908	52.908	52.908	52.908	52.907493	unk	neg
8	Contig101620	547	31.7975	31.7975	31.7975	31.7975	31.796953	unk	pos
2	Contig101657	8879	48.8225	48.8225	48.8225	48.8225	48.813621	unk	pos
12	Contig101702	277	40.8545	40.8545	40.8545	40.8545	40.854223	unk	neg
3	Contig101734	8116	27.3695	27.3695	27.3695	27.3695	27.361384	unk	pos
1	Contig101754	10829	26.1888629700653	26.1888629700653	26.1888629700653	26.1888629700653	26.1780339700653	unk	neg
10	Contig101784	8880	27.509	27.509	27.509	27.509	27.50012	unk	neg
14	Contig1018	55976	1.551	1.551	1.551	1.551	1.495024	unk	neg
6	Contig101807	336	46.5235	46.5235	46.5235	46.5235	46.523164	unk	neg
9	Contig101868	31303	28.0725	28.0725	28.0725	28.0725	28.041197	unk	pos
5	Contig101910	8912	42.4935	42.4935	42.4935	42.4935	42.484588	unk	pos
9	Contig101957	50440	46.2685	46.2685	46.2685	46.2685	46.21806	unk	pos
1	Contig101962	22026	80.9515	80.9515	80.9515	80.9515	80.929474	unk	neg
6	Contig101982	21545	37.644	37.644	37.644	37.644	37.622455	unk	pos
1	Contig102001	41656	0.965499999999999	0.965499999999999	0.965499999999999	0.965499999999999	0.923843999999999	unk	neg
15	Contig102033	6367	31.2575	31.2575	31.2575	31.2575	31.251133	unk	neg
6	Contig102036	21019	17.4365	17.4365	17.4365	17.4365	17.415481	unk	neg
9	Contig102071	26816	48.382	48.382	48.382	48.382	48.355184	unk	pos
14	Contig10208	506	10.2385	10.2385	10.2385	10.2385	10.237994	unk	pos
6	Contig102084	3723	53.101	53.101	53.101	53.101	53.097277	unk	pos
6	Contig10209	27675	55.2685	55.2685	55.2685	55.2685	55.240825	unk	neg
2	Contig102098	15952	1.486	1.486	1.486	1.486	1.470048	unk	pos
2	Contig1021	65392	85.7215	85.7215	85.7215	85.7215	85.656108	unk	neg
8	Contig102107	6288	45.608	45.608	45.608	45.608	45.601712	unk	pos
2	Contig102135	25041	76.9735	76.9735	76.9735	76.9735	76.948459	unk	neg
3	Contig102137	1042	27.3695	27.3695	27.3695	27.3695	27.368458	unk	pos
4	Contig10215	12076	56.518	56.518	56.518	56.518	56.505924	unk	neg
3	Contig102160	2930	31.864	31.864	31.864	31.864	31.86107	unk	neg
14	Contig102162	13179	10.2385	10.2385	10.2385	10.2385	10.225321	unk	neg
12	Contig10217	22300	33.904	33.904	33.904	33.904	33.8817	unk	neg
5	Contig102189	47519	7.433	7.433	7.433	7.433	7.385481	unk	neg
4	Contig102191	8055	1.5085	1.5085	1.5085	1.5085	1.500445	unk	pos
6	Contig1022	18293	7.259	7.259	7.259	7.259	7.240707	unk	pos
14	Contig102209	43905	11.4125	11.4125	11.4125	11.4125	11.368595	unk	neg
16	Contig102216	24845	23.089	23.089	23.089	23.089	23.064155	unk	pos
3	Contig102218	32957	17.8165	17.8165	17.8165	17.8165	17.783543	unk	pos
9	Contig10222	58341	3.8425	3.8425	3.8425	3.8425	3.784159	unk	pos
4	Contig102230	6078	1.5085	1.5085	1.5085	1.359	1.502422	pos	neg
8	Contig102238	10693	29.5045	29.5045	29.5045	29.5045	29.493807	unk	neg
13	Contig10224	22883	0	0	0	0	0	unk	pos
7	Contig10227	18549	17.4975	17.4975	17.4975	17.4975	17.478951	unk	neg
5	Contig102319	45462	50.3275	50.3275	50.3275	50.3275	50.282038	unk	pos
4	Contig102354	4092	53.3345	53.3345	53.3345	53.3345	53.330408	unk	neg
13	Contig102362	322	50.6885	50.6885	50.6885	50.6885	50.688178	unk	neg
2	Contig102376	15230	48.8225	48.8225	48.8225	48.8225	48.80727	unk	pos
9	Contig102407	6767	49.854	49.854	49.854	49.854	49.847233	unk	pos
2	Contig10241	9865	0.6405	0.6405	0.6405	0.6405	0.630635	unk	neg
9	Contig102475	38392	18.6395	18.6395	18.6395	18.6395	18.601108	unk	pos
8	Contig10248	3052	31.7975	31.7975	31.7975	31.7975	31.794448	unk	neg
1	Contig10250	9942	51.1485	51.1485	51.1485	51.1485	51.138558	unk	pos
2	Contig102527	10686	56.205	56.205	56.205	56.205	56.194314	unk	neg
5	Contig102545	10122	3.446	3.446	3.446	3.446	3.435878	unk	pos
1	Contig102554	2816	70.6185	70.6185	70.6185	70.6185	70.615684	unk	neg
10	Contig102562	32923	32.786	32.786	32.786	32.786	32.753077	unk	pos
10	Contig102584	8337	1.5235	1.5235	1.5235	1.5235	1.515163	unk	pos
2	Contig102624	14600	66.6275	66.6275	66.6275	66.6275	66.6129	unk	pos
11	Contig102655	16858	52.908	52.908	52.908	52.908	52.891142	unk	neg
12	Contig102657	4597	52.961	52.961	52.961	52.961	52.956403	unk	neg
3	Contig102686	13071	50.0635	50.0635	50.0635	50.0635	50.050429	unk	neg
9	Contig102690	5212	18.6395	18.6395	18.6395	18.6395	18.634288	unk	neg
6	Contig10271	1079	36.7265	36.7265	36.7265	36.7265	36.725421	unk	pos
9	Contig102716	268	52.999	52.999	52.999	52.999	52.998732	unk	pos
16	Contig102775	1138	39.05	39.05	39.05	39.05	39.048862	unk	pos
1	Contig102790	25264	66.5845	66.5845	66.5845	66.5845	66.559236	unk	pos
1	Contig102791	2439	66.5845	66.5845	66.5845	66.5845	66.582061	unk	neg
6	Contig10280	33176	40.0395	40.0395	40.0395	40.0395	40.006324	unk	pos
13	Contig102809	5370	32.067	32.067	32.067	32.067	32.06163	unk	pos
5	Contig102849	22551	7.433	7.433	7.433	7.433	7.410449	unk	pos
13	Contig102882	14791	38.829	38.829	38.829	38.829	38.814209	unk	pos
11	Contig102898	25643	35.7495	35.7495	35.7495	35.7495	35.723857	unk	neg
6	Contig102952	20564	55.2685	55.2685	55.2685	55.2685	55.247936	unk	neg
9	Contig102957	2990	19.3188363533409	19.3188363533409	19.3188363533409	19.3188363533409	19.3158463533409	unk	neg
3	Contig102983	2178	27.3695	27.3695	27.3695	27.3695	27.367322	unk	pos
1	Contig1030	59434	25.0135	25.0135	25.0135	25.0135	24.954066	unk	neg
6	Contig10309	13085	55.2685	55.2685	55.2685	55.2685	55.255415	unk	pos
10	Contig103113	7331	38.7485	38.7485	38.7485	38.7485	38.741169	unk	neg
1	Contig103117	3331	49.546	49.546	49.546	49.546	49.542669	unk	neg
3	Contig103124	7290	9.578	9.578	9.578	9.578	9.57071	unk	neg
11	Contig103161	7717	52.908	52.908	52.908	52.908	52.900283	unk	pos
11	Contig103163	14279	53.1745	52.908	53.1745	52.908	52.893721	pos	neg
2	Contig103217	7861	63.457	63.457	63.457	63.457	63.449139	unk	neg
4	Contig103234	1547	55.9695	55.9695	55.9695	55.9695	55.967953	unk	neg
6	Contig103255	668	44.2655	44.2655	44.2655	44.2655	44.264832	unk	neg
4	Contig103316	3945	53.623	53.623	53.623	53.623	53.619055	unk	neg
3	Contig1034	70932	62.838	62.838	62.838	62.838	62.767068	unk	pos
4	Contig103418	13996	1.5085	1.5085	1.5085	1.5085	1.494504	unk	pos
12	Contig103420	59061	42.9345	42.9345	42.9345	42.9345	42.875439	unk	neg
9	Contig103424	17484	52.999	52.999	52.999	52.999	52.981516	unk	pos
14	Contig103432	1675	10.2385	10.2385	10.2385	10.2385	10.236825	unk	neg
11	Contig103458	18437	32.8295	32.8295	32.8295	32.8295	32.811063	unk	neg
5	Contig1035	9498	0	0	0	0	0	unk	pos
10	Contig103535	1455	1.195	1.5235	1.195	1.5235	1.522045	neg	neg
13	Contig103613	10246	45.9435	45.9435	45.9435	45.9435	45.933254	unk	neg
16	Contig103629	8803	13.992	13.992	13.992	13.992	13.983197	unk	pos
6	Contig103630	5513	44.2655	44.2655	44.2655	44.2655	44.259987	unk	pos
12	Contig103637	1488	40.5365	40.5365	40.5365	40.5365	40.535012	unk	neg
14	Contig103643	6401	26.3765	26.3765	26.3765	26.3765	26.370099	unk	neg
3	Contig10365	13631	0.00950000000000001	0.00950000000000001	0.00950000000000001	0.00950000000000001	0	unk	neg
14	Contig103658	3169	10.2385	10.2385	10.2385	10.2385	10.235331	unk	pos
14	Contig103677	15507	10.2385	10.2385	10.2385	10.2385	10.222993	unk	pos
1	Contig103679	7384	27.203921214288	27.203921214288	27.203921214288	27.203921214288	27.196537214288	unk	neg
11	Contig103681	1641	28.01	28.01	28.01	28.01	28.008359	unk	neg
6	Contig103693	4088	53.101	53.101	53.101	53.101	53.096912	unk	pos
13	Contig103719	5222	43.676	43.676	43.676	43.676	43.670778	unk	pos
8	Contig103727	8386	14.345	14.345	14.345	14.345	14.336614	unk	pos
10	Contig103729	446	3.12	3.12	3.12	3.12	3.119554	unk	pos
13	Contig103755	9881	24.974	24.974	24.974	24.974	24.964119	unk	neg
4	Contig103769	11219	7.6025	7.6025	7.6025	7.6025	7.591281	unk	neg
17	Contig10379	2968	14.2365	14.2365	14.2365	14.2365	14.233532	unk	neg
2	Contig103820	32138	66.6275	66.6275	66.6275	66.6275	66.595362	unk	neg
4	Contig103890	12727	14.1135	14.1135	14.1135	14.1135	14.100773	unk	neg
3	Contig103894	4768	61.665	61.3595	61.665	61.3595	61.354732	pos	pos
2	Contig103895	3244	41.512	41.512	41.512	41.512	41.508756	unk	pos
15	Contig103905	9475	41.2225204704921	41.2225204704921	41.2225204704921	41.2225204704921	41.2130454704921	unk	neg
1	Contig103938	17161	80.9515	80.9515	80.9515	80.9515	80.934339	unk	pos
3	Contig103944	7336	27.3695	27.3695	27.3695	27.3695	27.362164	unk	pos
6	Contig103946	10223	31.0045	31.0045	31.0045	31.0045	30.994277	unk	neg
4	Contig10396	14448	7.6025	7.6025	7.6025	7.6025	7.588052	unk	neg
2	Contig103974	15869	58.6035	58.6035	58.6035	58.6035	58.587631	unk	pos
2	Contig104	18695	76.9735	76.9735	76.9735	76.9735	76.954805	unk	neg
15	Contig1040	6337	35.8415	35.8415	35.8415	35.8415	35.835163	unk	neg
10	Contig104000	13585	15.4495	15.4495	15.4495	15.4495	15.435915	unk	pos
16	Contig10402	13232	12.7565	12.7565	12.7565	12.7565	12.743268	unk	neg
3	Contig104026	88	12.673	12.673	12.673	12.673	12.672912	unk	neg
5	Contig104059	10950	29.3765	29.3765	29.3765	29.3765	29.36555	unk	pos
12	Contig10414	52193	1.276	1.276	1.276	1.276	1.223807	unk	pos
1	Contig10416	2141	0.965499999999999	0.965499999999999	0.965499999999999	0.965499999999999	0.963358999999999	unk	neg
11	Contig104194	17914	52.908	52.908	52.908	52.908	52.890086	unk	neg
2	Contig104225	9173	58.6035	58.6035	58.6035	58.6035	58.594327	unk	neg
5	Contig104335	10645	26.52	26.52	26.52	26.52	26.509355	unk	neg
10	Contig104367	2145	40.9955	40.9955	40.9955	40.9955	40.993355	unk	pos
1	Contig10439	14407	0.965499999999999	0.965499999999999	0.965499999999999	0.965499999999999	0.951092999999999	unk	neg
6	Contig104390	10657	41.7285	41.447	41.7285	41.447	41.436343	pos	pos
2	Contig104417	6876	41.512	41.512	41.512	41.512	41.505124	unk	pos
11	Contig104444	6323	52.908	52.908	52.908	52.908	52.901677	unk	neg
3	Contig104454	49912	33.145	33.145	33.145	33.145	33.095088	unk	pos
1	Contig104492	2191	0.965499999999999	0.965499999999999	0.965499999999999	0.965499999999999	0.963308999999999	unk	neg
10	Contig104500	1601	38.7485	38.7485	38.7485	38.7485	38.746899	unk	pos
1	Contig104513	22293	70.6185	70.6185	70.6185	70.6185	70.596207	unk	neg
11	Contig10454	4891	52.908	52.908	52.908	52.908	52.903109	unk	neg
3	Contig104543	1644	29.1695	29.1695	29.1695	29.1695	29.167856	unk	pos
2	Contig104593	8648	41.512	41.512	41.512	41.512	41.503352	unk	pos
3	Contig104685	1112	27.969	27.969	27.969	27.969	27.967888	unk	pos
9	Contig104688	6099	30.619	30.619	30.619	30.619	30.612901	unk	neg
8	Contig10469	7018	6.488	6.488	6.488	6.488	6.480982	unk	pos
6	Contig104693	1575	28.7092235092235	28.7092235092235	28.7092235092235	28.7092235092235	28.7076485092235	unk	neg
9	Contig104733	6018	17.0985	17.0985	17.0985	17.0985	17.092482	unk	pos
3	Contig104746	16719	38.3115	38.3115	38.3115	38.3115	38.294781	unk	neg
10	Contig104767	19903	17.901	17.901	17.901	17.901	17.881097	unk	pos
1	Contig104791	2923	80.9515	80.9515	80.9515	80.9515	80.948577	unk	neg
1	Contig1048	21897	48.625	48.625	48.625	48.625	48.603103	unk	neg
2	Contig104800	15505	59.186	59.186	59.186	59.186	59.170495	unk	pos
16	Contig104803	1768	56.1665	56.1665	56.1665	56.1665	56.164732	unk	pos
1	Contig104808	3112	41.2815	41.2815	41.2815	41.2815	41.278388	unk	neg
10	Contig104815	37279	45.5255	45.5255	45.5255	45.5255	45.488221	unk	pos
1	Contig10484	5650	31.3955	31.3955	31.3955	31.3955	31.38985	unk	pos
4	Contig104869	17783	56.518	56.518	56.518	56.518	56.500217	unk	neg
11	Contig104950	6339	35.7495	35.7495	35.7495	35.7495	35.743161	unk	pos
6	Contig104960	17913	38.913	38.913	38.913	38.913	38.895087	unk	neg
5	Contig104967	33684	21.9255	21.9255	21.9255	21.9255	21.891816	unk	neg
1	Contig104989	8220	42.9605	42.9605	42.9605	42.9605	42.95228	unk	neg
8	Contig105	28279	46.2085	46.2085	46.2085	46.2085	46.180221	unk	neg
14	Contig105014	2801	16.4135	16.4135	16.4135	16.4135	16.410699	unk	pos
7	Contig105056	2986	26.2975	26.2975	26.2975	26.2975	26.294514	unk	neg
4	Contig105094	1272	54.7785	54.7785	54.7785	54.7785	54.777228	unk	pos
15	Contig105095	9365	28.9395	28.9395	28.9395	28.9395	28.930135	unk	pos
14	Contig1051	10162	10.2385	10.2385	10.2385	10.2385	10.228338	unk	neg
1	Contig10510	3592	49.546	49.546	49.546	49.246	49.542408	pos	neg
15	Contig105108	40270	28.077	28.077	28.077	28.077	28.03673	unk	pos
10	Contig105114	5031	11.108	11.108	11.108	11.108	11.102969	unk	pos
1	Contig105140	7104	0.965499999999999	0.965499999999999	0.965499999999999	0.965499999999999	0.958395999999999	unk	neg
2	Contig105163	459	42.355	42.355	42.355	42.355	42.354541	unk	pos
3	Contig105195	15963	48.07	48.07	48.07	48.07	48.054037	unk	pos
8	Contig1052	3778	50.6905	50.6905	50.6905	50.6905	50.686722	unk	neg
8	Contig105200	16847	31.3655	31.3655	31.3655	31.3655	31.348653	unk	neg
17	Contig105228	18742	55.7255	55.7255	55.7255	55.7255	55.706758	unk	neg
9	Contig105232	7827	28.0725	28.0725	28.0725	28.0725	28.064673	unk	pos
5	Contig10530	21246	19.5575	19.5575	19.5575	19.5575	19.536254	unk	pos
6	Contig105303	4333	37.644	37.644	37.644	37.644	37.639667	unk	neg
7	Contig105371	24803	17.4975	17.4975	17.4975	17.4975	17.472697	unk	neg
9	Contig105430	2234	2.4175	2.4175	2.4175	2.4175	2.415266	unk	neg
1	Contig105487	8763	0.965499999999999	0.965499999999999	0.965499999999999	0.965499999999999	0.956736999999999	unk	neg
7	Contig105493	19162	17.4975	17.4975	17.4975	17.4975	17.478338	unk	neg
4	Contig10550	1626	54.7785	54.7785	54.7785	54.7785	54.776874	unk	pos
10	Contig105513	3057	41.5745104215308	41.5745104215308	41.5745104215308	41.5745104215308	41.5714534215308	unk	neg
12	Contig105622	971	43.2235	43.2235	43.2235	43.2235	43.222529	unk	neg
15	Contig105657	240	42.3545	42.3545	42.3545	42.3545	42.35426	unk	neg
15	Contig105658	5419	42.3545	42.3545	42.3545	42.3545	42.349081	unk	pos
4	Contig10567	14215	1.359	1.5085	1.359	1.5085	1.494285	neg	neg
7	Contig105674	16305	5.5455	5.5455	5.5455	5.5455	5.529195	unk	pos
2	Contig105739	16676	17.7745	17.7745	17.7745	17.7745	17.757824	unk	neg
10	Contig105795	2399	3.12	3.12	3.12	3.12	3.117601	unk	pos
6	Contig105820	7281	47.3685	47.3685	47.3685	47.3685	47.361219	unk	neg
12	Contig105835	4319	44.957	44.957	44.957	44.957	44.952681	unk	neg
6	Contig10585	9845	42.0095	42.0095	42.0095	42.0095	41.999655	unk	neg
17	Contig105856	20808	24.3355	24.3355	24.3355	24.3355	24.314692	unk	pos
1	Contig10587	8010	35.667	35.667	35.667	35.667	35.65899	unk	neg
14	Contig105873	4773	10.2385	10.2385	10.2385	10.2385	10.233727	unk	pos
1	Contig10588	2879	0.965499999999999	0.965499999999999	0.965499999999999	0.965499999999999	0.962620999999999	unk	neg
5	Contig105883	28937	21.334	21.334	21.334	21.334	21.305063	unk	neg
2	Contig105885	2304	69.558	69.558	69.558	69.558	69.555696	unk	neg
3	Contig105889	5700	24.399	24.399	24.399	24.399	24.3933	unk	pos
12	Contig105901	7070	41.491	41.491	41.491	41.491	41.48393	unk	pos
10	Contig10593	2909	27.791	27.791	27.791	27.791	27.788091	unk	neg
10	Contig106054	7257	23.6735	23.6735	23.6735	23.6735	23.666243	unk	neg
7	Contig106059	18397	29.165	29.165	29.165	29.165	29.146603	unk	pos
4	Contig106086	6888	0.2675	0.2675	0.2675	0.2675	0.260612	unk	pos
3	Contig10610	3440	46.931	46.931	46.931	46.931	46.92756	unk	neg
6	Contig10611	10021	0	0	0	0	0	unk	pos
10	Contig10614	7632	11.108	11.108	11.108	11.108	11.100368	unk	pos
7	Contig106141	7707	11.101	11.101	11.101	11.101	11.093293	unk	pos
17	Contig10616	19516	42.9065	42.9065	42.9065	42.9065	42.886984	unk	neg
13	Contig106185	5420	4.5985	4.5985	4.5985	4.5985	4.59308	unk	pos
2	Contig106238	17045	45.449	45.449	45.449	45.449	45.431955	unk	neg
13	Contig106277	17965	43.676	43.676	43.676	43.676	43.658035	unk	pos
4	Contig10633	5047	1.5085	1.5085	1.5085	1.5085	1.503453	unk	neg
1	Contig106350	29314	42.9605	42.9605	42.9605	42.9605	42.931186	unk	neg
2	Contig106381	2076	48.8225	48.8225	48.8225	48.8225	48.820424	unk	neg
10	Contig1064	105760	0.29	0.29	0.29	0.29	0.18424	unk	pos
3	Contig106405	2111	41.661	41.661	41.661	41.661	41.658889	unk	neg
1	Contig106414	4597	0.965499999999999	0.965499999999999	0.965499999999999	0.965499999999999	0.960902999999999	unk	neg
15	Contig106438	5431	22.49	22.49	22.49	22.49	22.484569	unk	pos
11	Contig106451	29110	55.6195	55.6195	55.6195	55.6195	55.59039	unk	pos
7	Contig106470	22988	12.5715	12.5715	12.5715	12.5715	12.548512	unk	neg
7	Contig106490	8030	5.5455	5.5455	5.5455	5.5455	5.53747	unk	pos
13	Contig106512	16529	26.4255	26.4255	26.4255	26.4255	26.408971	unk	pos
5	Contig106539	73102	26.239	26.239	26.239	26.239	26.165898	unk	pos
16	Contig10655	15665	3.835	3.835	3.835	3.835	3.819335	unk	pos
9	Contig106582	14690	28.0725	28.0725	28.0725	28.0725	28.05781	unk	neg
2	Contig106641	205	60.093	60.093	60.093	60.093	60.092795	unk	neg
3	Contig106700	7336	50.0635	50.0635	50.0635	50.0635	50.056164	unk	neg
15	Contig106711	1456	13.422	13.422	13.422	13.422	13.420544	unk	neg
7	Contig10672	270	42.082	42.082	42.082	42.082	42.08173	unk	pos
8	Contig106720	2017	6.488	6.488	6.488	6.488	6.485983	unk	neg
15	Contig106772	1539	31.831	31.831	31.831	31.831	31.829461	unk	neg
2	Contig106777	18540	76.9735	76.9735	76.9735	76.9735	76.95496	unk	pos
14	Contig106787	740	17.3545	17.3545	17.3545	17.3545	17.35376	unk	neg
17	Contig106867	36294	30.5933348774401	30.5933348774401	30.5933348774401	30.5933348774401	30.5570408774401	unk	pos
8	Contig1069	98519	51.686	51.686	51.686	51.536	51.587481	pos	pos
14	Contig106902	4668	17.3545	17.3545	17.3545	17.3545	17.349832	unk	pos
8	Contig106914	1278	51.536	51.536	51.536	51.536	51.534722	unk	pos
3	Contig106998	7958	18.415	18.415	18.415	18.415	18.407042	unk	neg
4	Contig107	107544	25.314	25.314	25.314	25.314	25.206456	unk	pos
3	Contig107048	5129	31.864	31.864	31.864	31.864	31.858871	unk	neg
5	Contig107076	233	10.0576298945327	10.0576298945327	10.0576298945327	10.0576298945327	10.0573968945327	unk	pos
1	Contig107085	3960	11.3975	11.3975	11.3975	11.3975	11.39354	unk	pos
8	Contig107089	25898	48.757	48.757	48.757	48.757	48.731102	unk	neg
17	Contig107158	16959	45.8605	45.8605	45.8605	45.8605	45.843541	unk	pos
9	Contig10718	6115	46.2685	46.2685	46.2685	46.2685	46.262385	unk	pos
2	Contig107182	42035	42.355	42.355	42.355	42.355	42.312965	unk	pos
1	Contig107184	15792	13.7155	13.7155	13.7155	13.7155	13.699708	unk	neg
14	Contig107214	3381	11.4125	11.4125	11.4125	11.4125	11.409119	unk	pos
5	Contig107217	11361	45.739	45.739	45.739	45.739	45.727639	unk	neg
9	Contig107222	3809	6.3785	6.3785	6.3785	6.3785	6.374691	unk	pos
7	Contig107246	34916	15.2505	15.2505	15.2505	15.2505	15.215584	unk	neg
13	Contig107262	22221	29.5305	29.5305	29.5305	29.5305	29.508279	unk	neg
10	Contig10728	28218	13.637097199341	13.637097199341	13.637097199341	13.637097199341	13.608879199341	unk	pos
14	Contig107297	10468	17.3545	17.3545	17.3545	17.3545	17.344032	unk	pos
17	Contig1073	53144	20.987	20.987	20.987	20.987	20.933856	unk	pos
16	Contig107303	28530	12.7565	12.7565	12.7565	12.7565	12.72797	unk	neg
10	Contig107354	87	0.29	0.29	0.29	0.29	0.289913	unk	neg
11	Contig10736	20361	52.3195	52.908	52.3195	52.908	52.887639	neg	neg
